station_id,station_name,station_description,station_latitude,station_longitude
1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
738,Lodalen busstopp,langs Dyvekes vei,59.9034528,10.777958
2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
737,Munkegata,langs Oslo gate,59.908255,10.7678
744,Hallénparken,ved Vogts gate,59.9315302,10.762169
558,Dokkveien,ved Støperigata,59.910974,10.7277001
529,Friggfeltet,langs Slemdalsveien,59.9327726,10.7114661
473,Majorstuveien,langs Maries gate,59.926697,10.716195
411,Hasle Torg,ved busstoppet,59.923240042155456,10.792831438028704
502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516
460,Botanisk Hage sør,langs Jens Bjelkes gate,59.91541769802439,10.76933022142641
559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806
531,Monolittveien,like ved Smestaddammen,59.935947,10.681138
1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971
433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745
454,Furulund,langs Vækerøveien,59.9198098,10.651118
613,Schives gate,ved Arno Bergs plass,59.92095635370271,10.714055629614734
469,Studentparlamentet,ved Frydenlund holdeplass,59.920852,10.733357
611,Bankplassen,ved Kirkegata,59.908454,10.741869
448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013
443,Sjøsiden ved trappen,Oslo S,59.91015446696496,10.751980909227372
598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171
2340,Tiedemannsparken,langs Grenseveien ved fotgjengerbru,59.92024767905539,10.793540704010042
607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468
580,Georg Morgenstiernes hus,ved Moltke Moes vei,59.939025551395765,10.723002619643406
434,Lindern,krysset ved Kirkeveien og Stensgata,59.9358883,10.7350062
542,Grünerhagen Nord,ved Sofienberggata,59.9224256,10.7554274
608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249
2304,Hedmarksgata,ved Jordal Amfi,59.91178403655783,10.783884345957915
438,BI Nydalen,ved hovedinngangen,59.949239,10.768576
540,Lilleborgbanen,langs Ole Bulls gate,59.93363159074286,10.769118139881124
464,Sukkerbiten,ved gangbroen,59.90512438070349,10.753763553726516
488,Torshovparken vest,langs Per Kvibergs gate,59.93507,10.76915
506,Botanisk Hage vest,ved Blytts gate,59.92012811804052,10.768875408563598
456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061
