started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2019-06-03 20:22:32+02:00,2019-06-05 13:19:56+02:00,147443,581,461
2019-06-04 15:17:23+02:00,2019-06-05 17:42:15+02:00,95091,432,515
2019-06-04 15:41:13+02:00,2019-06-05 16:39:15+02:00,89882,407,422
2019-06-04 16:36:06+02:00,2019-06-05 23:33:53+02:00,111466,408,583
2019-06-04 20:08:21+02:00,2019-06-06 10:45:12+02:00,139010,579,459
2019-06-05 16:14:08+02:00,2019-06-06 21:29:47+02:00,105339,447,392
2019-06-05 18:54:00+02:00,2019-06-06 18:57:52+02:00,86632,598,437
2019-06-05 18:56:32+02:00,2019-06-13 21:13:11+02:00,699399,431,525
2019-06-06 00:46:38+02:00,2019-06-07 11:28:43+02:00,124925,599,384
2019-06-06 08:22:19+02:00,2019-06-11 18:34:35+02:00,468736,558,532
2019-06-06 08:35:26+02:00,2019-06-07 08:51:51+02:00,87385,478,599
2019-06-06 11:42:06+02:00,2019-06-08 00:58:49+02:00,134202,489,404
2019-06-06 11:54:42+02:00,2019-06-07 13:16:21+02:00,91298,445,445
2019-06-07 18:25:02+02:00,2019-06-10 08:28:17+02:00,223394,421,392
2019-06-07 20:19:44+02:00,2019-06-09 20:39:03+02:00,173958,489,739
2019-06-08 08:07:52+02:00,2019-06-10 11:41:34+02:00,185621,446,515
2019-06-08 11:49:22+02:00,2019-06-10 16:28:41+02:00,189559,562,541
2019-06-10 12:44:24+02:00,2019-06-11 14:06:36+02:00,91332,582,382
2019-06-11 12:22:42+02:00,2019-06-12 19:57:59+02:00,113717,495,455
2019-06-11 16:33:53+02:00,2019-06-14 02:32:13+02:00,208700,528,384
2019-06-13 12:19:38+02:00,2019-06-17 14:47:48+02:00,354489,412,406
2019-06-13 14:33:08+02:00,2019-06-18 13:48:25+02:00,429316,421,461
2019-06-13 20:10:28+02:00,2019-06-17 21:04:52+02:00,348864,432,384
2019-06-14 00:43:44+02:00,2019-06-15 04:14:42+02:00,99058,624,582
2019-06-14 09:05:40+02:00,2019-06-15 17:47:38+02:00,117717,558,381
2019-06-14 16:44:06+02:00,2019-06-17 13:38:39+02:00,248072,537,419
2019-06-14 17:31:08+02:00,2019-06-16 03:34:05+02:00,122576,522,426
2019-06-14 18:06:14+02:00,2019-06-16 03:30:37+02:00,120262,551,522
2019-06-14 18:36:01+02:00,2019-06-16 21:22:30+02:00,182789,591,478
2019-06-14 21:47:14+02:00,2019-06-19 21:30:33+02:00,430999,387,600
2019-06-15 00:16:01+02:00,2019-06-16 17:18:36+02:00,147755,494,495
2019-06-15 13:19:41+02:00,2019-06-17 19:05:52+02:00,193571,408,737
2019-06-15 14:32:56+02:00,2019-06-16 20:13:02+02:00,106806,395,554
2019-06-15 16:52:24+02:00,2019-06-18 18:01:50+02:00,263365,491,525
2019-06-15 17:22:46+02:00,2019-06-26 07:36:16+02:00,915209,455,495
2019-06-15 19:19:08+02:00,2019-06-17 17:13:43+02:00,165274,470,737
2019-06-15 20:01:49+02:00,2019-06-17 03:56:43+02:00,114893,739,443
2019-06-15 21:17:43+02:00,2019-06-21 08:09:50+02:00,471127,396,494
2019-06-15 21:49:38+02:00,2019-06-18 13:50:41+02:00,230463,479,448
2019-06-15 22:26:05+02:00,2019-06-17 11:30:38+02:00,133472,495,537
2019-06-15 23:36:25+02:00,2019-06-18 07:57:17+02:00,202851,506,465
2019-06-16 00:33:01+02:00,2019-06-18 21:24:14+02:00,247872,476,532
2019-06-16 13:55:45+02:00,2019-06-18 18:36:47+02:00,189662,560,418
2019-06-17 00:48:48+02:00,2019-06-26 18:02:56+02:00,839647,408,553
2019-06-17 15:01:17+02:00,2019-06-22 22:02:45+02:00,457288,460,503
2019-06-17 15:17:43+02:00,2019-06-22 15:17:53+02:00,432010,398,485
2019-06-18 09:41:53+02:00,2019-06-19 13:30:42+02:00,100128,479,392
2019-06-18 10:23:55+02:00,2019-06-19 16:00:50+02:00,106614,381,480
2019-06-18 21:04:21+02:00,2019-06-20 15:44:02+02:00,153581,421,479
2019-06-18 22:33:23+02:00,2019-06-27 13:28:55+02:00,744931,624,405
2019-06-19 11:30:17+02:00,2019-06-23 02:20:43+02:00,312626,400,485
2019-06-19 11:43:24+02:00,2019-06-20 21:52:11+02:00,122926,622,481
2019-06-19 18:09:44+02:00,2019-06-21 04:09:09+02:00,122365,421,433
2019-06-19 19:45:16+02:00,2019-06-21 14:27:52+02:00,153756,557,443
2019-06-20 22:17:11+02:00,2019-06-23 03:43:45+02:00,192394,575,432
2019-06-21 20:07:36+02:00,2019-06-23 01:23:04+02:00,105328,970,571
2019-06-21 22:10:31+02:00,2019-06-24 11:34:47+02:00,221055,502,575
2019-06-21 22:20:08+02:00,2019-06-28 23:59:04+02:00,610736,528,495
2019-06-21 23:53:12+02:00,2019-06-23 06:29:44+02:00,110191,390,444
2019-06-22 05:42:42+02:00,2019-06-24 08:46:44+02:00,183841,480,443
2019-06-22 12:21:56+02:00,2019-07-05 08:10:14+02:00,1108098,408,491
2019-06-22 12:43:00+02:00,2019-06-24 06:41:20+02:00,151100,579,615
2019-06-22 17:57:48+02:00,2019-06-27 07:16:46+02:00,393537,445,574
2019-06-22 18:36:27+02:00,2019-06-28 13:55:01+02:00,501513,437,489
2019-06-22 18:59:45+02:00,2019-06-26 19:01:52+02:00,345727,481,460
2019-06-22 22:20:49+02:00,2019-06-24 13:25:10+02:00,140660,412,508
2019-06-23 00:45:25+02:00,2019-06-27 21:52:26+02:00,421620,614,381
2019-06-26 15:00:31+02:00,2019-07-09 09:34:05+02:00,1103613,410,512
2019-06-26 19:11:44+02:00,2019-07-05 10:07:51+02:00,744967,615,523
2019-06-26 21:36:22+02:00,2019-06-28 05:56:05+02:00,116382,396,462
2019-06-27 11:46:04+02:00,2019-06-29 03:10:11+02:00,141846,503,734
2019-06-27 13:05:14+02:00,2019-06-28 22:26:48+02:00,120094,421,494
2019-06-27 21:13:59+02:00,2019-07-08 13:38:49+02:00,923089,387,742
2019-06-27 23:45:35+02:00,2019-06-30 22:24:47+02:00,254352,480,402
2019-06-28 10:05:36+02:00,2019-06-29 12:19:26+02:00,94430,626,627
2019-06-28 16:53:59+02:00,2019-06-29 18:58:48+02:00,93888,735,599
2019-06-28 19:14:48+02:00,2019-06-30 00:49:41+02:00,106493,465,480
2019-06-28 21:57:57+02:00,2019-06-30 16:18:39+02:00,152441,448,448
2019-06-29 00:43:28+02:00,2019-06-30 20:02:49+02:00,155960,493,408
2019-06-29 13:07:16+02:00,2019-07-02 14:12:48+02:00,263131,413,499
2019-06-29 16:22:42+02:00,2019-07-04 23:33:25+02:00,457843,493,624
2019-06-30 18:05:27+02:00,2019-07-02 12:56:38+02:00,154270,466,575
2019-06-30 18:17:45+02:00,2019-07-02 12:56:36+02:00,153531,575,575
2019-06-30 23:54:21+02:00,2019-07-04 00:47:58+02:00,262416,739,480
2019-07-01 06:45:40+02:00,2019-07-02 15:09:47+02:00,116647,391,506
2019-07-02 18:52:08+02:00,2019-07-15 19:27:45+02:00,1125337,592,622
2019-07-03 06:04:52+02:00,2019-07-04 09:01:55+02:00,97023,521,423
2019-07-04 08:12:50+02:00,2019-07-10 15:18:48+02:00,543957,608,495
2019-07-04 10:27:18+02:00,2019-07-05 20:05:18+02:00,121080,617,448
2019-07-05 14:19:18+02:00,2019-07-08 21:06:30+02:00,283631,424,574
2019-07-05 15:44:43+02:00,2019-07-06 16:03:32+02:00,87529,385,501
2019-07-05 23:05:01+02:00,2019-07-10 16:20:03+02:00,407702,460,463
2019-07-06 11:37:54+02:00,2019-07-08 00:27:16+02:00,132562,583,523
2019-07-06 20:24:42+02:00,2019-07-09 06:23:24+02:00,208721,456,507
2019-07-08 19:14:21+02:00,2019-07-14 21:01:25+02:00,524824,378,572
2019-07-10 20:06:41+02:00,2019-07-12 18:27:29+02:00,166848,450,448
2019-07-11 00:40:52+02:00,2019-07-15 18:29:29+02:00,409717,739,406
2019-07-11 20:38:56+02:00,2019-07-13 11:43:25+02:00,140669,443,571
2019-07-11 21:46:39+02:00,2019-07-12 22:37:02+02:00,89423,597,527
2019-07-12 12:33:55+02:00,2019-07-15 18:20:19+02:00,279983,528,508
2019-07-12 20:07:09+02:00,2019-07-21 20:58:34+02:00,780684,534,589
2019-07-12 22:16:02+02:00,2019-07-19 10:10:52+02:00,561290,483,552
2019-07-12 23:03:02+02:00,2019-07-20 19:31:22+02:00,678500,426,480
2019-07-13 17:23:44+02:00,2019-07-16 00:34:46+02:00,198661,464,538
2019-07-13 17:52:05+02:00,2019-07-15 21:44:47+02:00,186762,505,734
2019-07-14 05:23:21+02:00,2019-07-18 09:27:39+02:00,360257,522,475
2019-07-14 05:45:22+02:00,2019-07-16 22:57:58+02:00,234755,500,463
2019-07-14 19:58:21+02:00,2019-07-24 08:38:35+02:00,823213,443,446
2019-07-16 08:01:50+02:00,2019-07-19 07:49:02+02:00,258432,506,574
2019-07-16 19:09:29+02:00,2019-07-21 17:48:50+02:00,427161,566,566
2019-07-16 19:40:55+02:00,2019-07-24 16:08:43+02:00,678468,424,560
2019-07-16 22:08:48+02:00,2019-07-22 12:51:19+02:00,484950,616,611
2019-07-16 22:45:53+02:00,2019-07-19 10:03:11+02:00,213438,441,426
2019-07-17 17:32:58+02:00,2019-07-22 08:20:17+02:00,398838,461,408
2019-07-17 20:14:59+02:00,2019-07-23 18:56:37+02:00,513697,463,537
2019-07-19 16:58:53+02:00,2019-07-22 13:23:21+02:00,246268,558,545
2019-07-19 22:54:58+02:00,2019-07-22 13:25:32+02:00,225033,382,404
2019-07-20 10:27:35+02:00,2019-07-22 09:38:11+02:00,169835,419,408
2019-07-20 20:59:54+02:00,2019-07-21 21:20:40+02:00,87645,480,408
2019-07-22 15:38:18+02:00,2019-07-24 00:38:56+02:00,118838,622,443
2019-07-23 14:46:59+02:00,2019-07-24 14:50:40+02:00,86620,524,481
2019-07-23 15:37:56+02:00,2019-07-25 00:56:06+02:00,119889,444,444
2019-07-25 13:59:11+02:00,2019-07-29 08:33:02+02:00,326030,533,395
2019-07-25 17:07:24+02:00,2019-07-29 08:32:55+02:00,314731,494,395
2019-07-25 22:04:02+02:00,2019-07-28 08:33:29+02:00,210566,562,537
2019-07-25 22:24:05+02:00,2019-07-28 11:25:10+02:00,219665,748,748
2019-07-26 13:47:44+02:00,2019-07-27 15:39:13+02:00,93089,622,481
2019-07-26 18:59:05+02:00,2019-07-28 20:47:34+02:00,179309,589,589
2019-07-26 23:25:12+02:00,2019-08-04 04:46:05+02:00,710453,499,393
2019-07-27 00:29:19+02:00,2019-07-30 06:47:10+02:00,281870,461,410
2019-07-27 13:05:05+02:00,2019-07-28 15:31:11+02:00,95165,414,578
2019-07-27 17:28:18+02:00,2019-07-28 18:38:15+02:00,90596,381,494
2019-07-27 19:42:58+02:00,2019-07-29 09:20:45+02:00,135467,515,524
2019-07-27 22:07:11+02:00,2019-07-29 03:36:23+02:00,106151,547,393
2019-07-27 23:25:55+02:00,2019-07-29 15:18:12+02:00,143536,465,575
2019-07-28 13:25:23+02:00,2019-07-30 09:43:22+02:00,159478,583,511
2019-07-28 16:35:45+02:00,2019-07-29 19:40:27+02:00,97482,430,381
2019-07-28 20:46:14+02:00,2019-08-05 00:11:53+02:00,617139,493,592
2019-07-28 21:53:11+02:00,2019-07-30 11:55:02+02:00,136910,491,574
2019-07-29 17:51:57+02:00,2019-07-30 22:31:08+02:00,103151,568,519
2019-07-29 17:52:27+02:00,2019-08-01 19:09:26+02:00,263819,568,408
2019-07-31 00:34:11+02:00,2019-08-01 10:23:56+02:00,121785,495,599
2019-07-31 17:15:40+02:00,2019-08-01 17:17:04+02:00,86484,438,455
2019-08-01 07:28:35+02:00,2019-08-04 20:29:46+02:00,306070,453,627
2019-08-01 18:26:14+02:00,2019-08-03 05:58:37+02:00,127943,435,512
2019-08-01 20:18:26+02:00,2019-08-05 11:26:35+02:00,313688,436,425
2019-08-02 17:18:54+02:00,2019-08-03 22:14:38+02:00,104144,579,534
2019-08-02 21:44:32+02:00,2019-08-04 15:34:43+02:00,150611,585,603
2019-08-02 23:12:14+02:00,2019-08-04 00:29:58+02:00,91063,474,474
2019-08-02 23:46:22+02:00,2019-08-04 00:11:55+02:00,87933,500,448
2019-08-02 23:51:00+02:00,2019-08-06 00:02:30+02:00,259890,421,410
2019-08-03 17:26:14+02:00,2019-08-04 20:21:58+02:00,96944,525,737
2019-08-03 19:59:25+02:00,2019-08-05 12:36:32+02:00,146226,739,737
2019-08-03 21:19:50+02:00,2019-08-05 20:53:44+02:00,171234,505,410
2019-08-04 13:34:11+02:00,2019-08-05 17:41:28+02:00,101236,970,506
2019-08-04 17:20:19+02:00,2019-08-07 20:42:28+02:00,271329,384,478
2019-08-05 13:13:19+02:00,2019-08-07 12:05:05+02:00,168706,381,437
2019-08-05 17:21:22+02:00,2019-08-07 14:41:52+02:00,163229,522,547
